,gamevariant,num_characters,length_dialogue_sum
0,Morrowind,21,7155
1,Daggerfall,25,1150
2,FFX_B,204,28853
3,FFXV,24,15135
4,SuperMarioRPG,11,2108
5,HorizonZeroDawn,26,3813
6,MonkeyIsland2,8,1579
7,TheSecretOfMonkeyIsland,3,1179
8,TheCurseOfMonkeyIsland,4,2087
9,KingsQuest1,2,164
10,KingsQuest6,17,4729
11,KingsQuestChapters,14,41267
12,KingsQuest5,9,1092
13,KingsQuest4,7,1453
14,KingdomHearts-B,23,4615
15,KingdomHearts3,23,5895
16,KingdomHearts3D,11,1289
17,Persona3,39,20269
18,Persona4,115,78443
19,Persona5B,179,109106
