file,gamevariant,gender,mean_Neutral,mean_Helpless,mean_Confident,mean_Angry,mean_Sad,mean_Dominant,mean_Submissive,highest_count_Neutral,highest_count_Helpless,highest_count_Confident,highest_count_Angry,highest_count_Sad,highest_count_Dominant,highest_count_Submissive
all_diverse_dialogue_thecurseofmonkeyisland.txt,thecurseofmonkeyisland,diverse,0.09683343892296155,0.08757450617849827,0.08348724618554115,0.3264760399858157,0.13535225701828799,0.14421776309609413,0.12605876040955385,1,0,0,4,0,0,1
all_diverse_dialogue_kingsquestchapters.txt,kingsquestchapters,diverse,0.0442151315510273,0.03456955403089523,0.05823332071304321,0.14356695115566254,0.21869978308677673,0.3999004065990448,0.10081487149000168,0,0,0,0,0,1,0
all_diverse_dialogue_supermariorpg.txt,supermariorpg,diverse,0.10287919841801464,0.08121313537486781,0.1299955061384303,0.1903657659646229,0.1464089927826561,0.22518443277284586,0.12395297189237876,16,7,12,45,23,63,11
all_diverse_dialogue_kingdomhearts3.txt,kingdomhearts3,diverse,0.12964372083735773,0.08672371614151277,0.10261573635328275,0.1035346262730085,0.21312576369979444,0.19114392957626244,0.17321250611581865,2,2,3,4,12,9,7
all_diverse_dialogue_daggerfall.txt,daggerfall,diverse,0.09831546802842428,0.08086871651429979,0.14641721036639951,0.17554976190957758,0.1420112577163511,0.1779921775654195,0.17884541456661526,3,3,11,19,9,7,11
all_diverse_dialogue_kingsquest6.txt,kingsquest6,diverse,0.1380953745042183,0.09690848394886267,0.1414144644608759,0.19278699667097962,0.1302292542912218,0.16121952805896195,0.1393459021607984,17,5,18,26,13,12,7
all_diverse_dialogue_persona3.txt,persona3,diverse,0.06703835092484951,0.05541264563798905,0.3379319056868553,0.13459767028689384,0.03974611070007086,0.2060958117246628,0.15917748287320138,0,0,3,1,0,0,1
all_diverse_dialogue_kingsquest5.txt,kingsquest5,diverse,0.12289313102761905,0.060773782121638455,0.15787805803120136,0.13503925812741122,0.13716508323947588,0.2166267012556394,0.16962396229306856,1,0,1,1,1,1,1
all_diverse_dialogue_kingsquest4.txt,kingsquest4,diverse,0.09524747766554356,0.04589677322655916,0.10282577425241471,0.2907173320651054,0.12248079441487789,0.15045715346932412,0.19237468093633653,0,0,1,8,0,1,0
all_diverse_dialogue_persona4.txt,persona4,diverse,0.11459170611976069,0.07923256159064514,0.13367806971544707,0.18317882395408389,0.14069127185340924,0.19118733921005757,0.1574402236721561,5,0,9,20,14,16,15
all_diverse_dialogue_ffx_b.txt,b,diverse,0.10441256073218855,0.08496609477495605,0.14601621653207325,0.20323314045301893,0.12699876674874264,0.18533453385938298,0.14903868833895434,6,4,22,28,15,15,20
all_diverse_dialogue_kingsquest1.txt,kingsquest1,diverse,0.02616710588335991,0.017077218741178513,0.16779088973999023,0.12363820523023605,0.07154756784439087,0.5749866962432861,0.018792323768138885,0,0,0,0,0,1,0
all_diverse_dialogue_kingdomhearts_b.txt,b,diverse,0.10679174276689689,0.06648408776770036,0.18036971613764763,0.11962483574946721,0.11902917362749577,0.2501532497505347,0.15754718209306398,1,0,1,0,0,3,1
all_diverse_dialogue_ffxv.txt,ffxv,diverse,0.14117320616547915,0.07000460424764464,0.10737194822999915,0.14364487840724938,0.1513507340621808,0.22522404159579776,0.1612305881123033,901,56,198,466,419,1267,400
all_diverse_dialogue_thesecretofmonkeyisland.txt,thesecretofmonkeyisland,diverse,0.1325140887087113,0.06944260427630261,0.12298430389675655,0.18762945273498954,0.17437249946555025,0.17522959396439164,0.13782745908553662,3,2,6,10,7,6,4
all_diverse_dialogue_persona5b.txt,persona5b,diverse,0.10419296651314677,0.11446768739502035,0.10281691843897409,0.1863268615078292,0.1898966958641579,0.18210379291703677,0.12019507797094023,55,73,82,199,226,204,68
all_diverse_dialogue_monkeyisland2.txt,monkeyisland2,diverse,0.08800206045535477,0.09830631789836017,0.11668996411291035,0.19275021078911694,0.20568035746162588,0.14195369251749732,0.15661739761179144,0,0,1,5,4,0,1
